Account 26908650026
                                         Estimate Std. Error t value Pr(>|t|)    
(Intercept)                            357.230685 114.807596   3.112 0.001869 ** 
month2                                 -15.204266   3.462772  -4.391 1.15e-05 ***
month3                                 -18.554795   3.528031  -5.259 1.49e-07 ***
month4                                 -47.954713   4.149893 -11.556  < 2e-16 ***
month5                                 -55.856943   4.832058 -11.560  < 2e-16 ***
month6                                 -26.475708   5.643632  -4.691 2.77e-06 ***
month7                                   7.994079   5.943193   1.345 0.178647    
month8                                  18.301051   5.885666   3.109 0.001883 ** 
month9                                 -35.844461   5.625004  -6.372 1.99e-10 ***
month10                                -49.681946   4.621191 -10.751  < 2e-16 ***
month11                                -35.360223   3.782584  -9.348  < 2e-16 ***
month12                                -33.697074   3.771889  -8.934  < 2e-16 ***
Humidity                                -1.122471   0.236019  -4.756 2.02e-06 ***
day2                                    38.220647   5.436109   7.031 2.27e-12 ***
day3                                    21.969550   5.484947   4.005 6.26e-05 ***
day4                                    17.141137   5.412170   3.167 0.001547 ** 
day5                                    30.697343   5.439582   5.643 1.74e-08 ***
day6                                    24.134050   5.597676   4.311 1.65e-05 ***
day7                                    17.532525   5.395387   3.250 0.001162 ** 
day8                                    18.892237   5.509493   3.429 0.000610 ***
day9                                    24.871334   5.476147   4.542 5.68e-06 ***
day10                                   18.255450   5.436348   3.358 0.000790 ***
day11                                   14.625702   5.434488   2.691 0.007137 ** 
day12                                   14.829188   5.553846   2.670 0.007603 ** 
day13                                   13.753137   5.506370   2.498 0.012526 *  
day14                                   22.412238   5.459261   4.105 4.09e-05 ***
day15                                   17.766234   5.465222   3.251 0.001157 ** 
day16                                   20.748090   5.442807   3.812 0.000139 ***
day17                                   10.789882   5.470410   1.972 0.048606 *  
day18                                   17.521262   5.523298   3.172 0.001520 ** 
day19                                   16.984014   5.461255   3.110 0.001880 ** 
day20                                    7.929491   5.510595   1.439 0.150213    
day21                                    8.609594   5.531822   1.556 0.119668    
day22                                    7.749635   5.515694   1.405 0.160065    
day23                                   11.540577   5.485007   2.104 0.035416 *  
day24                                   13.786489   5.467169   2.522 0.011704 *  
day25                                    3.199550   5.530291   0.579 0.562913    
day26                                    5.554920   5.552966   1.000 0.317178    
day27                                    6.798712   5.551126   1.225 0.220717    
day28                                   11.811400   5.521010   2.139 0.032445 *  
day29                                   -2.329684   5.545208  -0.420 0.674408    
day30                                   15.329229   5.518818   2.778 0.005492 ** 
day31                                   -0.091874   6.337908  -0.014 0.988435    
hour1                                    0.179663   4.597405   0.039 0.968828    
hour2                                    1.755438   4.629729   0.379 0.704577    
hour3                                    1.717273   4.688975   0.366 0.714201    
hour4                                   10.805249   4.613876   2.342 0.019216 *  
hour5                                   18.138450   4.657461   3.894 9.94e-05 ***
hour6                                  101.479098   4.696696  21.606  < 2e-16 ***
hour7                                  157.140549   4.740168  33.151  < 2e-16 ***
hour8                                  171.458444   4.703790  36.451  < 2e-16 ***
hour9                                  176.945696   4.744175  37.297  < 2e-16 ***
hour10                                 177.427675   4.813360  36.861  < 2e-16 ***
hour11                                 175.209661   4.870198  35.976  < 2e-16 ***
hour12                                 176.402694   4.923915  35.826  < 2e-16 ***
hour13                                 166.962881   4.885367  34.176  < 2e-16 ***
hour14                                 147.802975   4.918134  30.053  < 2e-16 ***
