,year,month,day,hour,Temperature,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_SpeedMPH,Wind_Direction,Conditions,WindDirDegrees,Account,kWh,Date,DayofWeek,Weekday,Peakhour
1,2014,1,1,0,23,5,46,30.2,10,8.1,WNW,Clear,290,26908650026,132.369999,1/1/2014,3,1,0
2,2014,1,1,1,21.9,3.9,46,30.23,10,11.5,WNW,Partly Cloudy,290,26908650026,132.719997,1/1/2014,3,1,0
3,2014,1,1,10,26.1,5,41,30.35,10,12.7,West,Partly Cloudy,280,26908650026,129.109998,1/1/2014,3,1,1
4,2014,1,1,11,26.1,5,41,30.34,10,13.8,West,Mostly Cloudy,260,26908650026,125.829996,1/1/2014,3,1,1
5,2014,1,1,12,27,5,39,30.33,10,13.8,West,Scattered Clouds,280,26908650026,120.909997,1/1/2014,3,1,1
6,2014,1,1,13,28,3.9,36,30.33,10,8.1,WNW,Mostly Cloudy,300,26908650026,125.199997,1/1/2014,3,1,1
7,2014,1,1,14,27,3.9,37,30.33,10,10.4,West,Scattered Clouds,270,26908650026,128.589997,1/1/2014,3,1,1
8,2014,1,1,15,27,5,39,30.35,10,10.4,WNW,Mostly Cloudy,290,26908650026,143.169998,1/1/2014,3,1,1
9,2014,1,1,16,26.1,5,41,30.35,10,6.9,NNW,Mostly Cloudy,340,26908650026,139.999998,1/1/2014,3,1,1
10,2014,1,1,17,25,5,43,30.37,10,9.2,NW,Scattered Clouds,320,26908650026,138.639995,1/1/2014,3,1,1
11,2014,1,1,18,24.1,6.1,46,30.37,10,4.6,North,Partly Cloudy,10,26908650026,143.199999,1/1/2014,3,1,1
12,2014,1,1,19,24.1,5,44,30.38,10,6.9,North,Partly Cloudy,360,26908650026,147.119998,1/1/2014,3,1,1
13,2014,1,1,2,21.9,3.9,46,30.25,10,12.7,WSW,Clear,240,26908650026,129.029997,1/1/2014,3,1,0
14,2014,1,1,20,23,5,46,30.38,10,4.6,North,Scattered Clouds,350,26908650026,147.829998,1/1/2014,3,1,0
15,2014,1,1,21,21.9,7,53,30.39,10,3.5,NNE,Mostly Cloudy,20,26908650026,134.879996,1/1/2014,3,1,0
16,2014,1,1,22,23,6.1,48,30.4,10,3.5,North,Overcast,360,26908650026,128.909999,1/1/2014,3,1,0
17,2014,1,1,23,23,7,50,30.38,10,6.9,NNE,Overcast,20,26908650026,124.499995,1/1/2014,3,1,0
18,2014,1,1,3,21.9,3,44,30.27,10,11.5,WSW,Clear,250,26908650026,125.759998,1/1/2014,3,1,0
19,2014,1,1,4,21,3,46,30.29,10,9.2,West,Clear,260,26908650026,129.389997,1/1/2014,3,1,0
20,2014,1,1,5,21,3,46,30.3,10,11.5,West,Clear,270,26908650026,132.509998,1/1/2014,3,1,0
21,2014,1,1,6,21,3.9,48,30.32,10,10.4,WSW,Scattered Clouds,250,26908650026,134.929996,1/1/2014,3,1,0
22,2014,1,1,7,19.9,5,52,30.35,10,10.4,SW,Scattered Clouds,230,26908650026,122.809998,1/1/2014,3,1,1
23,2014,1,1,8,23,6.1,48,30.37,10,10.4,West,Scattered Clouds,260,26908650026,119.959996,1/1/2014,3,1,1
24,2014,1,1,9,24.1,5,44,30.39,10,16.1,WNW,Scattered Clouds,300,26908650026,123.159999,1/1/2014,3,1,1
25,2014,1,10,0,19,9,65,30.6,10,6.9,SSW,Clear,210,26908650026,122.059998,1/10/2014,5,1,0
26,2014,1,10,1,19,9,65,30.61,10,5.8,SSW,Partly Cloudy,200,26908650026,120.789999,1/10/2014,5,1,0
27,2014,1,10,10,28,24.1,85,30.49,6,6.9,SSW,Overcast,210,26908650026,289.769992,1/10/2014,5,1,1
28,2014,1,10,11,30,26.1,85,30.44,6,3.5,South,Overcast,190,26908650026,289.159993,1/10/2014,5,1,1
