"","Date","hour","Temperature","new.kWh"
"1","10/1/2016","0",14.4,47.995154060431
"2","10/1/2016","0",14.4,51.004605721608
"3","10/1/2016","0",14.4,48.0918181421823
"4","10/1/2016","1",14.4,52.5666443183527
"5","10/1/2016","1",14.4,48.2793319173818
"6","10/1/2016","1",14.4,44.1747882435905
"7","10/1/2016","2",14.4,66.4483838994948
"8","10/1/2016","2",14.4,49.9481568222023
"9","10/1/2016","2",14.4,50.0362747562615
"10","10/1/2016","2",14.4,50.1347686653214
"11","10/1/2016","3",13.9,47.0010840094921
"12","10/1/2016","3",13.9,47.0943441608241
"13","10/1/2016","4",13.9,56.1770863309347
"14","10/1/2016","4",13.9,56.1934005324501
"15","10/1/2016","5",13.9,63.517835706643
"16","10/1/2016","5",13.9,63.4260944396104
"17","10/1/2016","6",13.9,148.563231875942
"18","10/1/2016","6",13.9,148.569380547324
"19","10/1/2016","6",13.9,148.560706537533
"20","10/1/2016","6",13.9,148.656281582406
"21","10/1/2016","7",13.3,198.629671644053
"22","10/1/2016","7",13.3,198.630678098162
"23","10/1/2016","8",13.3,213.674764282571
"24","10/1/2016","8",13.3,209.473035139152
"25","10/1/2016","8",13.3,217.967218900814
"26","10/1/2016","9",13.3,226.919935024282
"27","10/1/2016","9",13.3,219.257985120393
"28","10/1/2016","10",13.9,223.983599954296
"29","10/1/2016","10",13.9,227.609378144623
"30","10/1/2016","11",13.9,221.926906833399
"31","10/1/2016","11",14.4,221.383331323444
"32","10/1/2016","12",14.4,225.008183598058
"33","10/1/2016","12",14.4,220.806640070552
"34","10/1/2016","13",14.4,212.625745944238
"35","10/1/2016","14",13.9,192.324342106557
"36","10/1/2016","15",13.3,166.69015231409
"37","10/1/2016","16",12.8,174.027739893499
"38","10/1/2016","17",12.8,151.362676735966
"39","10/1/2016","18",13.3,118.47108519993
"40","10/1/2016","18",13.3,121.227678408338
"41","10/1/2016","19",13.3,105.745893023812
"42","10/1/2016","19",13.3,107.835124829821
"43","10/1/2016","20",12.8,107.264843575851
"44","10/1/2016","21",12.8,57.6848693111441
"45","10/1/2016","22",12.8,49.6891534083149
"46","10/1/2016","22",12.8,46.7695003598332
"47","10/1/2016","23",12.8,40.5933219253139
"48","10/2/2016","0",13.3,38.6057927400845
"49","10/2/2016","0",12.8,35.3898536522444
"50","10/2/2016","1",12.2,35.9554562004959
"51","10/2/2016","1",12.2,25.5632330245573
